opportunity_id;sales_agent;Produto;Conta;deal_stage;engage_date;close_date; close_value 
2V848WZD;Lajuana Vencill;MG Advanced;Stanredtax;Won;18/11/2016;04/03/2017;R$ 3.180,00
ONYNTUCG;Darcel Schlecht;GTXPro;Funholding;Lost;19/11/2016;17/03/2017; R$ -   
HIOHX80Y;Darcel Schlecht;MG Advanced;Gogozoom;Won;19/11/2016;18/03/2017;R$ 3.563,00
F5U1ACDD;Kami Bicknell;GTX Plus Basic;;Engaging;19/11/2016;;
LPKT07PV;Boris Faz;GTXPro;Opentech;Won;20/11/2016;23/03/2017;R$ 4.704,00
WPB2SLIG;Donn Cantrell;GTX Plus Pro;Silis;Won;20/11/2016;14/03/2017;R$ 5.585,00
XUSUEAV7;Elease Gluck;GTK 500;Zoomit;Won;20/11/2016;09/03/2017;R$ 25.897,00
ZZY4516R;Hayden Neloms;MG Advanced;;Engaging;20/11/2016;;
3TYPII47;Kami Bicknell;GTX Plus Basic;Goodsilron;Won;20/11/2016;03/03/2017;R$ 1.207,00
7WAX8Z8O;Lajuana Vencill;MG Advanced;Cancity;Lost;20/11/2016;08/03/2017; R$ -   
MYDUMR3R;Lajuana Vencill;GTX Basic;Rangreen;Won;20/11/2016;04/03/2017;R$ 559,00
0DRC1U9Q;Maureen Marcano;GTX Basic;Green-Plus;Engaging;20/11/2016;;
37JFKD4I;Niesha Huffines;GTX Plus Basic;dambase;Won;20/11/2016;09/03/2017;R$ 1.033,00
25YKPHX8;Donn Cantrell;GTX Basic;Kan-code;Won;21/11/2016;21/03/2017;R$ 462,00
BXXMA7F3;Hayden Neloms;MG Advanced;Nam-zim;Lost;21/11/2016;01/03/2017; R$ -   
GIUUTBXM;Kary Hendrixson;GTXPro;Y-corporation;Won;21/11/2016;14/03/2017;R$ 5.539,00
MFX2LR1Q;Lajuana Vencill;MG Advanced;Ron-tech;Won;21/11/2016;15/03/2017;R$ 3.573,00
DUHE9FLY;Marty Freudenburg;GTXPro;Conecom;Won;21/11/2016;01/03/2017;R$ 4.926,00
96BSG7R1;Zane Levy;GTX Plus Basic;Sunnamplex;Lost;21/11/2016;17/03/2017; R$ -   
7FQMSWIX;Corliss Cosme;MG Special;Bioplex;Won;22/11/2016;04/03/2017;R$ 62,00
C20AVXN7;Darcel Schlecht;GTXPro;Gogozoom;Won;22/11/2016;14/03/2017;R$ 4.359,00
GS1QVWCR;Kami Bicknell;GTX Basic;Plusstrip;Won;22/11/2016;31/03/2017;R$ 566,00
ZWH8FXY3;Marty Freudenburg;GTX Basic;Toughzap;Won;22/11/2016;03/03/2017;R$ 508,00
2U94Y3Q9;Rosie Papadopoulos;MG Advanced;Vehement Capital Partners;Lost;22/11/2016;20/03/2017; R$ -   
AAR79NOO;Versie Hillebrand;MG Special;Codehow;Won;22/11/2016;11/03/2017;R$ 51,00
B6B0PNR2;Vicki Laflamme;GTXPro;Dalttechnology;Won;22/11/2016;05/03/2017;R$ 4.899,00
M7I5O9YU;Corliss Cosme;GTX Basic;Cheers;Engaging;23/11/2016;;
LXZA2OSZ;Corliss Cosme;GTX Plus Pro;Ontomedia;Won;23/11/2016;03/03/2017;R$ 5.790,00
N0ONCYVZ;Donn Cantrell;MG Special;Kinnamplus;Lost;23/11/2016;30/03/2017; R$ -   
GYB4W2AU;Elease Gluck;MG Advanced;;Engaging;23/11/2016;;
513DPFX5;Gladys Colclough;GTXPro;Codehow;Won;23/11/2016;03/03/2017;R$ 4.438,00
RU023K5W;Gladys Colclough;MG Advanced;Finhigh;Won;23/11/2016;17/03/2017;R$ 2.972,00
VDIU10RV;Markita Hansen;MG Special;Lexiqvolax;Engaging;23/11/2016;;
BZCBQ514;Markita Hansen;GTX Basic;Y-corporation;Won;23/11/2016;01/03/2017;R$ 523,00
HEE6P0QH;Anna Snelling;MG Advanced;Statholdings;Won;24/11/2016;25/03/2017;R$ 3.647,00
L8CHRJ2B;Cassey Cress;MG Advanced;Umbrella Corporation;Won;24/11/2016;01/03/2017;R$ 4.200,00
579LZ3F9;Daniell Hammack;GTX Plus Basic;J-Texon;Engaging;24/11/2016;;
SU8JNMP4;Kami Bicknell;GTX Plus Basic;Bubba Gump;Engaging;24/11/2016;;
V2X2KMUR;Kami Bicknell;GTX Plus Basic;Faxquote;Won;24/11/2016;28/03/2017;R$ 1.059,00
AJIPJP75;Marty Freudenburg;GTX Plus Basic;Codehow;Lost;24/11/2016;05/03/2017; R$ -   
NYVA2G6U;Versie Hillebrand;MG Special;Dontechi;Won;24/11/2016;02/03/2017;R$ 57,00
FF45BXTL;Vicki Laflamme;MG Advanced;Konex;Won;24/11/2016;27/03/2017;R$ 3.671,00
TTA9LYBS;Anna Snelling;MG Special;Treequote;Won;25/11/2016;01/03/2017;R$ 58,00
PAGZQH8L;Cecily Lampkin;MG Advanced;Treequote;Won;25/11/2016;06/03/2017;R$ 3.956,00
J7YF6DS7;Corliss Cosme;GTX Plus Pro;Betasoloin;Won;25/11/2016;01/03/2017;R$ 5.964,00
S5IXY4Z9;Corliss Cosme;GTXPro;Betasoloin;Won;25/11/2016;06/03/2017;R$ 4.570,00
JQBJMETQ;Darcel Schlecht;MG Special;Domzoom;Won;25/11/2016;27/03/2017;R$ 49,00
0LVWSWEW;Violet Mclelland;MG Special;Donquadtech;Won;25/11/2016;06/03/2017;R$ 65,00
K53BC1T9;Anna Snelling;MG Special;Domzoom;Lost;26/11/2016;27/03/2017; R$ -   
D40N5I9Y;Darcel Schlecht;GTXPro;Finhigh;Won;26/11/2016;08/03/2017;R$ 4.739,00
051QTX8Z;Niesha Huffines;GTX Plus Basic;Globex Corporation;Won;26/11/2016;21/03/2017;R$ 1.080,00
5D2XH04S;Reed Clapper;MG Special;Plussunin;Won;26/11/2016;12/03/2017;R$ 57,00
V9E582SK;Garret Kinder;GTX Basic;Konex;Won;27/11/2016;16/03/2017;R$ 469,00
UK0LEZRJ;Kary Hendrixson;GTX Basic;Condax;Won;27/11/2016;03/03/2017;R$ 532,00
PFFHM7HR;Markita Hansen;MG Advanced;Opentech;Engaging;27/11/2016;;
IT10CFQH;Rosalina Dieter;GTX Basic;Konex;Won;27/11/2016;26/03/2017;R$ 538,00
8VKD2CCH;Rosie Papadopoulos;GTXPro;Massive Dynamic;Won;27/11/2016;21/03/2017;R$ 4.829,00
2XQAKBXH;Zane Levy;GTX Plus Pro;Doncon;Won;27/11/2016;11/03/2017;R$ 5.370,00
7G7YLGJO;Zane Levy;GTX Plus Pro;Hatfan;Won;27/11/2016;21/03/2017;R$ 6.499,00
GCA97W27;Darcel Schlecht;GTX Plus Basic;Genco Pura Olive Oil Company;Won;28/11/2016;06/03/2017;R$ 1.161,00
K8FUZHOG;Kary Hendrixson;GTX Basic;Scotfind;Won;28/11/2016;26/03/2017;R$ 576,00
5WJZMULK;Maureen Marcano;GTX Plus Basic;Hatfan;Won;28/11/2016;19/03/2017;R$ 979,00
ZPYD4T9W;Versie Hillebrand;MG Special;Stanredtax;Won;28/11/2016;07/03/2017;R$ 43,00
KE9ZEDS8;Gladys Colclough;MG Special;Scottech;Won;29/11/2016;07/03/2017;R$ 57,00
7KK0HQ4C;Lajuana Vencill;MG Special;Ron-tech;Lost;29/11/2016;28/03/2017; R$ -   
FP7014Z0;Lajuana Vencill;GTX Plus Basic;Funholding;Won;29/11/2016;12/03/2017;R$ 948,00
N4HFHDMW;Wilburn Farren;MG Advanced;Plussunin;Won;29/11/2016;10/03/2017;R$ 3.012,00
2HFLKREC;Cassey Cress;MG Advanced;Zotware;Won;30/11/2016;15/03/2017;R$ 3.665,00
7JVTTVCO;Violet Mclelland;GTX Basic;Gekko & Co;Won;30/11/2016;24/03/2017;R$ 564,00
3X13866U;Anna Snelling;GTX Plus Basic;dambase;Lost;01/12/2016;06/03/2017; R$ -   
7LE19SYE;Cassey Cress;MG Advanced;Initech;Won;01/12/2016;22/03/2017;R$ 3.463,00
J5V2M7Y1;Corliss Cosme;GTX Basic;Gekko & Co;Won;01/12/2016;26/03/2017;R$ 513,00
41MURAI5;Corliss Cosme;GTX Basic;Konex;Won;01/12/2016;28/03/2017;R$ 590,00
QHI8WRIA;Darcel Schlecht;GTXPro;Dontechi;Won;01/12/2016;30/03/2017;R$ 4.511,00
AJXAXV4W;Lajuana Vencill;MG Advanced;Finhigh;Lost;01/12/2016;02/03/2017; R$ -   
VPDXX5PJ;Niesha Huffines;GTX Basic;Cancity;Won;01/12/2016;26/03/2017;R$ 546,00
PZB9NUK8;Vicki Laflamme;MG Special;Y-corporation;Won;01/12/2016;05/03/2017;R$ 46,00
A0ANOYPF;Darcel Schlecht;GTXPro;Ron-tech;Won;02/12/2016;09/03/2017;R$ 4.891,00
0P4AAPYX;Hayden Neloms;GTX Plus Basic;Golddex;Won;02/12/2016;03/03/2017;R$ 1.040,00
O6T5WC3W;Hayden Neloms;GTX Plus Basic;Sonron;Won;02/12/2016;04/03/2017;R$ 1.108,00
0NO04P6C;Hayden Neloms;MG Special;Nam-zim;Won;02/12/2016;04/03/2017;R$ 59,00
22OFSXBT;Jonathan Berthelot;GTXPro;Statholdings;Won;02/12/2016;30/03/2017;R$ 5.406,00
MRXZTMM6;Kary Hendrixson;GTX Basic;Cheers;Won;02/12/2016;20/03/2017;R$ 515,00
LGI8QEC2;Moses Frase;GTX Basic;Treequote;Won;02/12/2016;06/03/2017;R$ 583,00
6KZ0NCFX;Versie Hillebrand;MG Special;Funholding;Won;02/12/2016;14/03/2017;R$ 54,00
3SF8O9S6;Vicki Laflamme;MG Special;Plusstrip;Won;02/12/2016;27/03/2017;R$ 60,00
CNM0H9FR;Zane Levy;GTX Basic;;Engaging;02/12/2016;;
XK668R7C;Darcel Schlecht;GTX Basic;Dontechi;Lost;03/12/2016;12/03/2017; R$ -   
TZCAQWL3;Darcel Schlecht;GTXPro;Funholding;Lost;03/12/2016;19/03/2017; R$ -   
BADC6A9H;Darcel Schlecht;GTX Basic;Globex Corporation;Won;03/12/2016;23/03/2017;R$ 516,00
B8E0UUZR;Darcel Schlecht;GTXPro;Rangreen;Won;03/12/2016;22/03/2017;R$ 4.829,00
I043RXJV;Moses Frase;GTX Plus Basic;Dontechi;Lost;03/12/2016;17/03/2017; R$ -   
MWWB44CC;Reed Clapper;GTX Plus Basic;Donquadtech;Won;03/12/2016;02/03/2017;R$ 950,00
HBTINPDG;Vicki Laflamme;GTX Plus Basic;Xx-holding;Lost;03/12/2016;09/03/2017; R$ -   
DZ3KHZSX;Corliss Cosme;GTX Basic;Initech;Won;04/12/2016;20/03/2017;R$ 513,00
3W1K7X5F;Darcel Schlecht;GTXPro;Condax;Lost;04/12/2016;09/03/2017; R$ -   
45A57X68;Darcel Schlecht;GTX Plus Pro;Ron-tech;Won;04/12/2016;12/03/2017;R$ 5.522,00
9SLYC4TR;Gladys Colclough;MG Special;Cancity;Won;04/12/2016;09/03/2017;R$ 56,00
JLWKWQYC;James Ascencio;GTXPro;Doncon;Won;04/12/2016;08/03/2017;R$ 5.673,00
7QC6FOKW;Kami Bicknell;GTX Basic;Xx-holding;Won;04/12/2016;10/03/2017;R$ 598,00
XA184CMW;Marty Freudenburg;GTX Plus Pro;Rangreen;Won;04/12/2016;16/03/2017;R$ 5.787,00
S0N7BYU3;Maureen Marcano;GTX Plus Basic;Singletechno;Won;04/12/2016;08/03/2017;R$ 1.070,00
6WOMHAJM;Boris Faz;MG Advanced;Donquadtech;Won;05/12/2016;14/03/2017;R$ 3.677,00
G1QGATKV;Cassey Cress;GTX Plus Pro;Ontomedia;Won;05/12/2016;30/03/2017;R$ 5.425,00
UAE5ZC7O;Daniell Hammack;GTX Plus Pro;;Engaging;05/12/2016;;
6XFVQI32;Donn Cantrell;MG Advanced;Yearin;Won;05/12/2016;23/03/2017;R$ 3.415,00
JUCNIG4H;James Ascencio;GTX Basic;;Engaging;05/12/2016;;
OGD4MDJ9;Maureen Marcano;GTX Plus Basic;Lexiqvolax;Won;05/12/2016;21/03/2017;R$ 891,00
4NGBUZWJ;Lajuana Vencill;GTX Basic;Codehow;Won;06/12/2016;12/03/2017;R$ 609,00
EFG5DGV5;Markita Hansen;MG Special;Plusstrip;Won;06/12/2016;16/03/2017;R$ 54,00
82MM4H33;Zane Levy;GTX Plus Basic;Labdrill;Won;06/12/2016;09/03/2017;R$ 1.049,00
14PM641K;Cassey Cress;GTX Plus Basic;Gekko & Co;Won;07/12/2016;07/03/2017;R$ 1.152,00
DSBGHOPN;Daniell Hammack;MG Special;Plussunin;Lost;07/12/2016;20/03/2017; R$ -   
1YSOZLHF;Daniell Hammack;GTXPro;Umbrella Corporation;Won;07/12/2016;28/03/2017;R$ 4.799,00
E8RP9FRW;Gladys Colclough;MG Special;dambase;Won;07/12/2016;12/03/2017;R$ 51,00
787IRG9Q;Hayden Neloms;MG Advanced;J-Texon;Won;07/12/2016;03/03/2017;R$ 3.426,00
0TUS4NAC;Jonathan Berthelot;MG Special;Rangreen;Won;07/12/2016;11/03/2017;R$ 51,00
FAJTQMUM;Kami Bicknell;GTX Basic;Finjob;Won;07/12/2016;20/03/2017;R$ 564,00
TWF0J0DF;Cecily Lampkin;GTX Plus Pro;Isdom;Won;08/12/2016;01/03/2017;R$ 5.882,00
ICMXZOVL;Daniell Hammack;GTXPro;Stanredtax;Engaging;08/12/2016;;
UQ14O415;Donn Cantrell;GTXPro;Plussunin;Won;08/12/2016;20/03/2017;R$ 5.059,00
IBEUTCSW;James Ascencio;MG Advanced;;Engaging;08/12/2016;;
O3KC8QI8;Kami Bicknell;GTX Plus Basic;;Engaging;08/12/2016;;
BOJSLNDG;Kami Bicknell;MG Advanced;Singletechno;Won;08/12/2016;11/03/2017;R$ 3.388,00
WALNFJ70;Kary Hendrixson;GTX Plus Pro;;Engaging;08/12/2016;;
DASMR0EK;Markita Hansen;GTX Plus Pro;Zoomit;Won;08/12/2016;10/03/2017;R$ 5.410,00
A76M0OOH;Reed Clapper;GTX Plus Basic;Zathunicon;Won;08/12/2016;28/03/2017;R$ 978,00
E1VKE2PH;Vicki Laflamme;MG Special;Scotfind;Won;08/12/2016;26/03/2017;R$ 54,00
SKY95DVG;Anna Snelling;MG Special;Betatech;Lost;09/12/2016;22/03/2017; R$ -   
V5OK4V5I;Cassey Cress;GTX Basic;Bubba Gump;Won;09/12/2016;14/03/2017;R$ 549,00
GJ4L5HHN;Corliss Cosme;GTX Plus Basic;Mathtouch;Won;09/12/2016;14/03/2017;R$ 1.034,00
9R8JWY3J;Donn Cantrell;GTXPro;Vehement Capital Partners;Won;09/12/2016;03/03/2017;R$ 4.998,00
0EOFVU05;Donn Cantrell;MG Advanced;Ontomedia;Won;09/12/2016;28/03/2017;R$ 3.421,00
HNHOPL7M;Kary Hendrixson;GTX Plus Pro;Doncon;Won;09/12/2016;04/03/2017;R$ 5.425,00
Y0NYI17R;Vicki Laflamme;MG Special;Dalttechnology;Won;09/12/2016;15/03/2017;R$ 55,00
R4F4RGAL;Violet Mclelland;MG Advanced;Silis;Won;09/12/2016;14/03/2017;R$ 3.558,00
MNVMY83P;Cassey Cress;GTXPro;Plussunin;Engaging;10/12/2016;;
0ZHLQFGU;Kami Bicknell;GTXPro;Blackzim;Won;10/12/2016;22/03/2017;R$ 4.839,00
40DPY158;Markita Hansen;MG Special;Hottechi;Won;10/12/2016;25/03/2017;R$ 47,00
DP9E525R;Maureen Marcano;GTX Plus Basic;Fasehatice;Won;10/12/2016;24/03/2017;R$ 1.007,00
DBDUMQQK;Niesha Huffines;MG Special;Inity;Won;10/12/2016;24/03/2017;R$ 48,00
CNBN12RL;Versie Hillebrand;MG Special;Treequote;Won;10/12/2016;07/03/2017;R$ 49,00
OXL0YWEE;Violet Mclelland;GTX Basic;Mathtouch;Won;10/12/2016;18/03/2017;R$ 504,00
ZOBJHMAF;Cassey Cress;MG Advanced;;Engaging;11/12/2016;;
KD6MB4AP;Elease Gluck;MG Special;;Engaging;11/12/2016;;
5CSSZJF4;Jonathan Berthelot;GTX Basic;Finhigh;Won;11/12/2016;21/03/2017;R$ 543,00
0XG8TOJF;Kary Hendrixson;GTX Plus Pro;Fasehatice;Lost;11/12/2016;18/03/2017; R$ -   
IIS0O91J;Kary Hendrixson;GTXPro;Fasehatice;Won;11/12/2016;28/03/2017;R$ 5.149,00
2LP5SUR5;Lajuana Vencill;GTX Basic;Treequote;Lost;11/12/2016;09/03/2017; R$ -   
PYZZ3IS6;Markita Hansen;GTX Plus Basic;Blackzim;Won;11/12/2016;11/03/2017;R$ 1.043,00
5I4K5TQE;Cassey Cress;GTX Plus Pro;Sumace;Lost;12/12/2016;09/03/2017; R$ -   
RV3LPOYP;James Ascencio;GTX Basic;Condax;Won;12/12/2016;29/03/2017;R$ 437,00
A194RP0I;Rosalina Dieter;MG Advanced;;Engaging;12/12/2016;;
1HVNTEPV;Rosie Papadopoulos;GTXPro;Kinnamplus;Won;12/12/2016;11/03/2017;R$ 4.465,00
LC85AQ1I;Vicki Laflamme;GTX Basic;Konex;Won;12/12/2016;18/03/2017;R$ 443,00
TBV972NP;Violet Mclelland;MG Special;Sumace;Lost;12/12/2016;23/03/2017; R$ -   
EJMX0EIJ;Darcel Schlecht;GTX Plus Pro;Betatech;Won;13/12/2016;20/03/2017;R$ 4.278,00
VR9NYBOV;Garret Kinder;MG Special;Kinnamplus;Won;13/12/2016;06/03/2017;R$ 41,00
3U25FK08;Jonathan Berthelot;GTX Basic;Isdom;Won;13/12/2016;28/03/2017;R$ 519,00
KV2OFRJT;Kami Bicknell;GTXPro;;Engaging;13/12/2016;;
CRLK4Z1P;Maureen Marcano;GTX Basic;Kan-code;Won;13/12/2016;04/03/2017;R$ 524,00
OGENAT0L;Zane Levy;GTX Basic;Singletechno;Won;13/12/2016;27/03/2017;R$ 552,00
F57JWIDF;Gladys Colclough;GTX Plus Basic;Konmatfix;Won;14/12/2016;02/03/2017;R$ 970,00
ERFRHR3Z;Hayden Neloms;MG Advanced;;Engaging;14/12/2016;;
J53D8EOL;Kary Hendrixson;GTX Plus Basic;Hottechi;Engaging;14/12/2016;;
LF8JZ3Q5;Kary Hendrixson;GTX Plus Basic;Hatfan;Won;14/12/2016;13/03/2017;R$ 1.046,00
MRGBSMQ5;Kary Hendrixson;GTX Plus Basic;Sunnamplex;Won;14/12/2016;14/03/2017;R$ 988,00
CBAV8ZJL;Lajuana Vencill;GTX Basic;Codehow;Won;14/12/2016;22/03/2017;R$ 547,00
J32XDDAW;Markita Hansen;GTX Basic;;Engaging;14/12/2016;;
NN4DWBVN;Maureen Marcano;GTXPro;Singletechno;Lost;14/12/2016;04/03/2017; R$ -   
6JXHEZYK;Versie Hillebrand;MG Special;Isdom;Won;14/12/2016;31/03/2017;R$ 54,00
WDHNR2EI;Violet Mclelland;MG Special;Silis;Won;14/12/2016;20/03/2017;R$ 57,00
4K750D6F;Violet Mclelland;MG Special;Yearin;Won;14/12/2016;18/03/2017;R$ 55,00
94GI0ZJ7;Anna Snelling;GTX Plus Pro;Stanredtax;Won;15/12/2016;15/03/2017;R$ 5.765,00
TODG6DEK;Daniell Hammack;GTX Basic;Bioplex;Won;15/12/2016;16/03/2017;R$ 639,00
G0ECB8FS;Kary Hendrixson;GTXPro;Labdrill;Won;15/12/2016;15/03/2017;R$ 5.100,00
1ZDDZD8B;Markita Hansen;MG Special;;Engaging;15/12/2016;;
96MZYUY0;Vicki Laflamme;GTXPro;Fasehatice;Won;15/12/2016;07/03/2017;R$ 4.906,00
EZVKSQ9C;Boris Faz;GTX Plus Pro;Genco Pura Olive Oil Company;Engaging;16/12/2016;;
RJYG004O;Daniell Hammack;GTX Basic;Domzoom;Engaging;16/12/2016;;
JZOKHHWN;Donn Cantrell;GTX Plus Basic;Opentech;Won;16/12/2016;07/03/2017;R$ 1.037,00
EH6I67I0;James Ascencio;GTX Basic;Plexzap;Won;16/12/2016;15/03/2017;R$ 537,00
JUUXF02Z;Kary Hendrixson;GTXPro;Hatfan;Won;16/12/2016;09/03/2017;R$ 4.694,00
OT87JDWO;Lajuana Vencill;GTX Basic;Konmatfix;Won;16/12/2016;24/03/2017;R$ 560,00
YHKT6YJ7;Moses Frase;GTX Basic;dambase;Won;16/12/2016;13/03/2017;R$ 589,00
H78I3TAY;Reed Clapper;GTX Basic;Mathtouch;Won;16/12/2016;14/03/2017;R$ 493,00
1ROC43JK;Versie Hillebrand;MG Special;Betatech;Won;16/12/2016;08/03/2017;R$ 50,00
LPZLQL48;Vicki Laflamme;GTX Basic;Y-corporation;Won;16/12/2016;28/03/2017;R$ 492,00
PYOFK7ZD;Cassey Cress;GTX Basic;;Engaging;17/12/2016;;
DWUXMAGZ;Corliss Cosme;GTX Plus Pro;;Engaging;17/12/2016;;
3KR50X38;Corliss Cosme;GTX Plus Basic;Konex;Won;17/12/2016;13/03/2017;R$ 1.255,00
Q3WLHRE9;Darcel Schlecht;GTX Basic;Statholdings;Won;17/12/2016;04/03/2017;R$ 463,00
IX7UEOAP;Donn Cantrell;GTX Plus Basic;Initech;Lost;17/12/2016;27/03/2017; R$ -   
NQU62K1H;Donn Cantrell;GTX Basic;Zencorporation;Won;17/12/2016;12/03/2017;R$ 605,00
NAQKOU0T;Hayden Neloms;GTX Plus Basic;Fasehatice;Won;17/12/2016;20/03/2017;R$ 1.315,00
I3V3GUAI;Lajuana Vencill;GTX Basic;Zumgoity;Won;17/12/2016;02/03/2017;R$ 559,00
PN4VJDXY;Moses Frase;GTX Basic;Rundofase;Won;17/12/2016;28/03/2017;R$ 557,00
K9D4DQ3R;Rosie Papadopoulos;MG Special;Vehement Capital Partners;Won;17/12/2016;02/03/2017;R$ 48,00
9X6V79KE;Versie Hillebrand;GTX Plus Pro;Isdom;Won;17/12/2016;25/03/2017;R$ 6.282,00
6SN2RQJX;Vicki Laflamme;MG Special;;Engaging;17/12/2016;;
